customer_id,order_id
4187,20033040
2093,20033041
4508,20033042
5999,20033043
2961,20033044
1195,20033045
6135,20033046
1849,20033047
3515,20033048
6185,20033049
4250,20033050
3902,20033051
919,20033052
2921,20033053
7184,20033054
1584,20033055
839,20033056
2404,20033057
1969,20033058
5482,20033059
2955,20033060
949,20033061
1943,20033062
6121,20033063
3061,20033064
6436,20033065
3692,20033066
3593,20033067
5426,20033068
3417,20033069
274,20033070
1300,20033071
2175,20033072
5838,20033073
6827,20033074
3339,20033075
3220,20033076
5593,20033077
4828,20033078
2315,20033079
3121,20033080
4983,20033081
547,20033082
1239,20033083
2185,20033084
5686,20033085
911,20033086
6187,20033087
6881,20033088
3875,20033089
381,20033090
3285,20033091
4812,20033092
507,20033093
7052,20033094
6849,20033095
1403,20033096
5373,20033097
6834,20033098
6022,20033099
3237,20033100
5160,20033101
6388,20033102
2092,20033103
1979,20033104
4392,20033105
2710,20033106
1929,20033107
3213,20033108
1690,20033109
7233,20033110
5433,20033111
7006,20033112
2685,20033113
4061,20033114
4545,20033115
5678,20033116
737,20033117
5526,20033118
3752,20033119
4698,20033120
5694,20033121
4504,20033122
3347,20033123
6410,20033124
1039,20033125
3174,20033126
1213,20033127
5713,20033128
3878,20033129
6875,20033130
3067,20033131
3111,20033132
5937,20033133
598,20033134
3541,20033135
2636,20033136
1580,20033137
3587,20033138
6753,20033139
3119,20033140
288,20033141
648,20033142
5680,20033143
3194,20033144
1574,20033145
3107,20033146
7159,20033147
2237,20033148
6673,20033149
6865,20033150
2326,20033151
6930,20033152
6927,20033153
4735,20033154
3130,20033155
5275,20033156
6462,20033157
3759,20033158
3044,20033159
2454,20033160
4724,20033161
2982,20033162
7070,20033163
3500,20033164
5422,20033165
180,20033166
3015,20033167
4206,20033168
7194,20033169
6279,20033170
7109,20033171
1382,20033172
1792,20033173
2228,20033174
1271,20033175
1189,20033176
1010,20033177
4100,20033178
7300,20033179
1497,20033180
5473,20033181
6758,20033182
1852,20033183
4589,20033184
3256,20033185
4222,20033186
1489,20033187
6659,20033188
5185,20033189
1555,20033190
299,20033191
2263,20033192
7267,20033193
153,20033194
1067,20033195
4816,20033196
2519,20033197
2255,20033198
4058,20033199
5735,20033200
4411,20033201
604,20033202
5213,20033203
1146,20033204
2218,20033205
5395,20033206
1933,20033207
1349,20033208
6385,20033209
4919,20033210
3989,20033211
1294,20033212
4299,20033213
6466,20033214
2141,20033215
5669,20033216
7120,20033217
5979,20033218
603,20033219
2151,20033220
6788,20033221
6569,20033222
2965,20033223
1809,20033224
5521,20033225
6435,20033226
177,20033227
5818,20033228
1706,20033229
1001,20033230
5376,20033231
5363,20033232
5070,20033233
6482,20033234
5281,20033235
3934,20033236
3856,20033237
1041,20033238
6874,20033239
4800,20033240
1888,20033241
1899,20033242
5304,20033243
5894,20033244
7114,20033245
4602,20033246
3391,20033247
1958,20033248
2611,20033249
2764,20033250
6252,20033251
2837,20033252
2571,20033253
1012,20033254
971,20033255
2091,20033256
6675,20033257
222,20033258
2525,20033259
3253,20033260
4651,20033261
1470,20033262
