product_upc,product_name,product_category,product_description,product_price,profit_ratio,product_rating
574409856524,Raisin Cinnamon Granola,Food - Cereals,Crunchy granola with raisins and cinnamon for a delightful breakfast.,30.99,0.55,2.2
574461829917,Organic Whole Wheat Flour,Food - Baking Goods,High-quality whole wheat flour for baking and cooking.,45.22,0.54,2.4
574462722455,Outdoor Camping Lantern,Outdoor,Rechargeable LED lantern ideal for camping and outdoor activities.,19.54,0.71,1.5
574493175249,Mediterranean Couscous Salad,Food - Salads,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",31.46,0.76,4.1
574401147676,Sriracha Chili Sauce,Food - Condiments,Spicy chili sauce with garlic and sugar for a flavor kick.,28.41,0.79,3.9
574407818572,USB Flash Drive,Storage,32GB USB flash drive with fast data transfer speeds.,46.43,0.44,2.9
574429133945,Zucchini Noodles,Food - Vegetables,"Spiralized zucchini, a healthy alternative to pasta.",24,0.54,2.5
574442310089,Raspberry Lemonade Mix,Food - Beverages,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",36.91,0.42,1.2
574449563565,High-Speed Blender,Kitchen,Powerful blender for smoothies and soups.,23.4,0.48,1.1
574453954332,Fruit and Nut Medley,Food - Snacks,A healthy mix of assorted dried fruits and nuts for snacking.,43.12,0.48,3.7
574462596083,Greek Yogurt,Food - Dairy,Creamy Greek yogurt packed with protein and probiotics.,51.76,0.58,3.6
574482475820,Electric Kettle with Temperature Control,Kitchen,Electric kettle that offers precise temperature settings.,23.76,0.5,2
574407491158,Cherry Almond Protein Bar,Food - Snacks,"Nutritious protein bar with cherry and almond flavor, great for on-the-go.",17.17,0.6,4.8
574418621774,Karaoke Microphone,Music,Wireless microphone for singing and performances.,25.74,0.72,2.5
574428086068,Miso Soup Mix,Food - Soups,"Instant miso soup mix, just add hot water for a warm meal.",38.78,0.67,5
574429488233,Portable Jump Starter,Automotive,Compact jump starter for emergency vehicle starts.,38.59,0.43,4.5
574441377813,Fishing Rod,Outdoor,Lightweight fishing rod suitable for beginners.,26.38,0.78,1.7
574447952203,Chickpea Snack Mix,Food - Snacks,"Crunchy, seasoned chickpeas for a wholesome snack.",43.47,0.78,4.2
574467656334,Memory Foam Pillow,Home,Ergonomic memory foam pillow for better sleep.,25.97,0.57,4.2
574487861166,Raspberry Tart,Food - Baked Goods,A delicious tart filled with fresh raspberry filling.,41.32,0.68,5
574488005980,Wall-Mounted Organizer,Home,Practical organizer for keeping your home tidy and clutter-free.,22,0.68,3.8
574424372201,Sketchbook,Art Supplies,High-quality sketchbook for artists.,40.43,0.74,4.4
574443710884,Bamboo Memory Foam Pillow,Home,Ergonomically designed pillow with breathable bamboo cover.,55.53,0.54,4.6
574445585740,Outdoor Fire Pit,Outdoor,Portable fire pit for backyard gatherings.,17.76,0.69,2.9
574447447436,Portable Pet Stroller,Pets,Convenient stroller for pets to enjoy outdoor walks.,30.3,0.65,3
574477444550,Adjustable Pet Grooming Table,Pets,Professional grooming table with adjustable height.,31.2,0.41,1.2
574488966550,Pesto Pasta Sauce,Food - Sauces,Rich basil pesto sauce for pasta and more.,15.67,0.49,1.2
574420563766,Solar Power Bank,Electronics,Eco-friendly power bank that charges via sunlight.,36.94,0.66,3.3
574439320782,Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,"Creamy ice cream made with real vanilla beans, perfect for desserts.",18.33,0.64,2.6
574479262198,Wrap Jumpsuit,Clothing - Jumpsuits,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.,42.7,0.4,1.5
574418480066,Smart LED Desk Lamp,Office,Adjustable lamp with multiple brightness levels and colors.,17.09,0.78,2.5
574428512332,Electric Heat Pad,Health,Microwaveable heat pad for soothing muscle aches.,31.05,0.68,3.2
574445670446,Portable Solar Phone Charger,Electronics,Eco-friendly charger that uses solar energy for powering devices.,28.5,0.45,2.3
574451956079,Asian Salad Mix,Food - Produce,Fresh greens and veggies for a quick Asian-inspired salad.,20.86,0.71,2.9
574454962518,Portable Ice Maker,Kitchen,Compact ice maker for creating ice at home or in offices.,46.21,0.73,4.8
574458415882,Frozen Pizza,Food - Frozen Foods,Delicious frozen pizza with a variety of toppings.,52.39,0.63,2.4
574466871240,Customizable Name Puzzle,Toys,Personalized wooden puzzles for children that encourage learning.,51.91,0.41,1.8
574486687622,Sesame Noodles,Food - Grab-and-Go,"Chilled noodles dressed in sesame sauce, ready to eat.",38.48,0.4,2.2
574496278286,Rolling Cooler,Outdoor,Wheeled cooler for transporting drinks and snacks.,39.45,0.66,4.4
574412321822,Air Purifier,Home,HEPA air purifier for clean indoor air.,15.76,0.62,3.1
574453288646,Marinated Artichokes,Food - Vegetables,Artichoke hearts marinated in herbs and oil.,50.82,0.44,3.9
574453973300,Pet Training Pads,Pets,Absorbent training pads for puppies and kittens.,19.83,0.78,3.4
574478826008,Adjustable Window Blind,Home,Customizable window cover for light control and privacy.,34.86,0.68,4.1
574492632066,Quinoa and Kale Salad Kit,Food - Salads,"Ready-to-eat salad with quinoa and kale, drizzled with vinaigrette.",24.02,0.7,4
574410016368,Sliced Provolone Cheese,Food - Dairy,Mild cheese great for sandwiches.,30.32,0.65,2.6
574412581907,Satin Slip Dress,Clothing - Dresses,Luxurious satin slip dress for an elegant evening look.,50.24,0.78,4
574416065933,Microfiber Cleaning Cloth Set,Home,Assorted cloths for cleaning electronics and delicate surfaces.,29.49,0.61,4.8
574417982593,Mini Pretzels,Food - Snacks,"Crispy mini pretzels, a great snack any time of day.",45.74,0.67,2.4
574428785109,Eco-Friendly Disposable Plates,Kitchen,Compostable plates suitable for various occasions.,21.81,0.62,4.7
574435203929,Bluetooth Tracker,Accessories,Smart tracker to locate keys or other items via app.,48.31,0.52,2.9
574443722596,Garlic and Herb Cream Cheese,Food - Dairy,Spreadable cream cheese with garlic and herbs.,35.5,0.51,1.1
574449413194,Smart WiFi Plug,Smart Home,Control appliances remotely using your smartphone.,27.32,0.78,3
574453697906,Decorative Wall Tapestry,Home,Colorful tapestry to add charm to any room.,39.98,0.63,1.9
574465673455,Sweet Potatoes,Food - Produce,"Sweet and nutritious potatoes, great for roasting.",28.89,0.76,1.7
574492290565,Classic Cheeseburger Mix,Food - Meats,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",22.64,0.4,3.5
574451416037,Ripped Boyfriend Jeans,Clothing - Bottoms,"Stylish ripped boyfriend jeans for a relaxed, effortlessly cool vibe.",38.5,0.52,3.4
574466662197,Peach Green Tea,Food - Beverages,"Refreshing green tea infused with peach, perfect for a hot day.",46.85,0.64,4.1
574483841626,Teriyaki Beef Jerky,Food - Snacks,Savory and chewy beef jerky with teriyaki flavor.,19.54,0.6,4.7
574485896560,Cinnamon Roll Protein Bar,Food - Snacks,Soft and chewy bar packed with protein and cinnamon flavors.,35.5,0.53,2.7
574403982995,Adjustable Pedicure Footrest,Beauty,Ergonomic footrest for easier pedicure treatment.,49.04,0.79,4.3
574422397958,Tandoori Chicken Skewers,Food - Meat,Marinated chicken skewers infused with traditional tandoori spices.,31.36,0.77,3.2
574422969524,Bamboo Cutting Board,Kitchen,Eco-friendly bamboo cutting board for food prep.,53.17,0.79,4.9
574432268235,Whole Grain Hamburger Buns,Food - Bakery,Soft hamburger buns made with whole grains.,22,0.53,2.8
574445764513,Greek Feta Cheese,Food - Dairy,Creamy and crumbly cheese for salads and dishes.,36.75,0.72,2.2
574451651808,Car Phone Mount,Automotive,Adjustable phone mount for car dashboard.,21.61,0.47,3
574458771689,Instant Mashed Potatoes,Food - Sides,Quick and easy side dish with buttery flavor.,31.48,0.45,1.4
574460434923,Nutty Quinoa Salad,Food - Salads,"A delicious salad with quinoa, nuts, and cranberries.",30.06,0.56,4.2
574494963149,Spinach Feta Wraps,Food - Deli,"Whole wheat wraps filled with spinach, feta, and herbs.",28.37,0.7,1.2
574401698889,Denim Jacket,Clothing - Outerwear,A classic denim jacket that never goes out of style.,21.15,0.77,2.2
574456888414,Organic Almonds,Food - Nuts,"Crunchy and nutritious almonds, perfect for snacking.",24.45,0.71,1.4
574469086975,Veggie Burger Patties,Food - Meat Substitutes,Delicious veggie burger patties for grilling or frying.,15.27,0.79,3.1
574475479981,Puzzle Game Set,Toys,Challenging puzzle game set for family entertainment.,33.55,0.64,3.6
574489065209,Pineapple Coconut Yogurt,Food - Dairy,Creamy yogurt blended with fresh pineapple and coconut pieces.,55.56,0.69,4.8
574418284210,Gardening Fairy Figurines,Garden,Cute fairy figurines to decorate your garden or potted plants.,37.26,0.66,2.8
574429212394,Garlic Naan Bread,Food - Bakery,"Soft and delicious garlic-infused flatbread, perfect for dipping.",43.35,0.47,1
574475172017,Oven-Baked Sweet Potato Fries,Food - Frozen Foods,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",24.38,0.67,4.7
574486541227,Kale Chips,Food - Snacks,"Healthy, crunchy kale chips, a nutritious snack.",42.94,0.55,4.6
574495597477,Pumpkin Spice Latte Mix,Food - Beverages,Instant mix for delicious pumpkin spice lattes at home.,31.8,0.78,3.6
574431792763,Mini Fondue Set,Kitchen,Complete fondue set for chocolate and cheese parties.,31.57,0.79,4.1
574442765000,BBQ Sauce,Food - Condiments,"A smoky barbecue sauce, ideal for grilling and dipping.",42.56,0.73,1.9
574442871613,Vegetable Korma,Food - Frozen,Creamy vegetable curry enriched with spices.,57.56,0.57,4.4
574469260378,Window Bird Feeder,Outdoor,Suction cup bird feeder for close-up bird watching.,29.24,0.68,1.1
574481475306,Adjustable Dog Harness,Pets,Comfortable and adjustable harness for dogs.,33.49,0.79,4.1
574422277538,Herbed Goat Cheese,Food - Cheese,"Tangy goat cheese infused with herbs, perfect for snacking.",36.84,0.72,2.5
574426573494,Non-Stick Crepe Pan,Kitchen,Perfectly designed pan for making crepes and pancakes.,31.33,0.46,2.2
574480889866,Window A/C Unit,Home Appliances,Energy-efficient window air conditioner for cooling.,17.76,0.78,4
574486491838,Cat Scratching Post with Toys,Pets,Multi-level scratching post to keep your cat entertained.,40.29,0.63,1.6
574422183148,Creamy Garlic Dressing,Food - Condiments,"Rich and creamy dressing with garlic flavor, perfect for salads.",46.45,0.79,4.8
574426034895,Herb-Infused Olive Oil,Food - Oils,Premium olive oil infused with herbs for enhanced flavor.,15.52,0.52,4
574431102926,Kids' Art Supplies Kit,Toys,"Complete kit with crayons, markers, and paper for young artists.",55.96,0.5,4.4
574468433018,Digital Stopwatch Timer,Fitness,Accurate stopwatch for timing events and workouts.,29.56,0.77,2.5
574402632161,Portable Solar Path Lights,Outdoor,Eco-friendly solar lights for pathways and gardens.,17.52,0.61,2.8
574408012913,Self-Cleaning Water Bottle,Fitness,Water bottle with built-in UV-C light for self-cleaning.,49.01,0.45,2.7
574450690379,Rechargeable Laptop Battery Pack,Electronics,Portable battery pack to charge laptops while on the move.,44.36,0.52,1.7
574475590649,Garam Masala Spice Blend,Food - Spices,A fragrant Indian spice blend for curries and stews.,49.98,0.69,1.6
574479894192,Vegetable Sushi Rolls,Food - Prepared Meals,Fresh sushi rolls filled with a variety of vegetables.,38.52,0.62,1.6
574486851339,Dark Chocolate Covered Raisins,Food - Snacks,Satisfy your sweet tooth with these dark chocolate-covered raisins.,48.22,0.75,3.7
574404185391,Insulated Wine Tote,Accessories,Stylish tote to keep wine bottles chilled while traveling.,52.81,0.6,4.2
574438636758,Silicone Baking Mat Set,Kitchen,Non-stick and reusable mats for easy baking.,55.87,0.52,1.6
574444342577,Sports Water Bottle with Infuser,Fitness,Bottle that allows you to infuse your water with fruits.,44.77,0.77,2.8
574444946807,Electric Heating Pad,Health,Microwaveable heating pad for muscle pain relief and relaxation.,33.61,0.77,2.3
574450619102,Portable Hammock Swing,Outdoor,Lightweight and portable swing hammock for relaxing outdoors.,18.84,0.76,2.7
574452909883,Toilet Paper (12 rolls),Food - Household,Soft and strong toilet paper for everyday use.,51.48,0.76,3.2
574457102141,Travel Makeup Organizer,Beauty,Compact organizer for cosmetics during travel.,55.02,0.47,2.6
574462659403,Apricot Jam,Food - Condiments,Sweet and tangy jam made from natural apricots.,42.3,0.43,1.7
574483180267,Wireless Charging Station,Electronics,Charge multiple devices with this sleek charging station.,45.62,0.62,1.8
574404270735,High-Quality Yoga Block,Fitness,Foam yoga block for enhancing poses and stability.,56.78,0.42,1.3
574418647592,Pecan Nuts,Food - Snacks,"Nutty, crunchy pecans great for baking.",24.71,0.57,2.9
574466772854,Brussels Sprouts,Food - Produce,"Fresh Brussels sprouts, great for roasting or steaming.",46.96,0.55,4.7
574475789355,Herbal Tea Set,Food,Assorted herbal tea bags for relaxation and wellness.,31.11,0.58,1.1
574491296256,Energy Protein Bars,Food - Snacks,Nutritious bars packed with protein for energy,39.97,0.67,4.1
574413759826,Coconut Flakes,Food - Baking,Unsweetened coconut flakes for baking and topping.,33.22,0.79,2.5
574438439324,Wi-Fi Enabled Smart Light Switch,Smart Home,Control your lights remotely with a smartphone app.,51.03,0.45,1.9
574483804747,Electric Pressure Cooker,Kitchen,"Multi-function pressure cooker that can sauté, steam, and slow cook.",16.01,0.72,3.5
574435544770,Faux Leather Leggings,Clothing - Pants,Stylish faux leather leggings for a trendy outfit.,32.97,0.56,2.1
574469567187,Tomatillo Salsa,Food - Condiments,Tangy salsa made from tomatillos and peppers.,17.62,0.52,2.9
574486061106,Zucchini Noodle Pasta,Food - Vegetables,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta.",53.25,0.66,3.6
574491765163,Shatterproof Wine Glasses,Outdoor,"Durable, unbreakable wine glasses for outdoor use.",49.47,0.65,1
574405088157,Smart Wi-Fi Light Bulbs,Smart Home,Energy-efficient LED bulbs that can be controlled via smartphone.,55.16,0.51,1.2
574429162411,Children's Backpack,Accessories,Stylish and functional backpack for school or trips.,25.32,0.54,3
574442255972,Crispy Onion Rings,Food - Frozen Foods,"Frozen onion rings, crispy and ready to bake.",56.48,0.5,2.4
574489256792,Bird Feeder,Outdoor,Hanging bird feeder for backyard birds.,39.54,0.43,1.4
574441556000,Stainless Steel Grater,Kitchen,Multi-functional grater for cheese and vegetables.,21.77,0.53,1.2
574446788380,Spicy BBQ Sauce,Food - Condiments,A tangy and spicy BBQ sauce that's perfect for grilling.,49.78,0.62,3.1
574467607197,Dried Cranberries,Food - Snacks,"Sweet and tart dried cranberries, great for salads and baking.",50.28,0.46,1.2
574419782725,Herbed Couscous,Food - Grains,Quick-cooking couscous flavored with herbs and spices.,29.78,0.63,1.3
574444829298,Granola Cereal,Food - Breakfast,"Crunchy granola with oats, nuts, and honey.",46.54,0.69,3.3
574445854142,Outdoor Folding Table,Outdoor,Lightweight and portable folding table for camping or picnics.,32.7,0.6,2.1
574453353917,Black Bean Soup,Food - Soups,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",54.49,0.54,4.6
574459160316,Savory Breakfast Sausage,Food - Meats,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",27.77,0.6,3.9
574460295437,Sculpting Kit,Art Supplies,Complete sculpting tools for artists.,18.09,0.69,2.4
574486170068,Pet Water Bottle,Pets,Portable water bottle for pets when traveling.,37.06,0.74,2
574426015271,Silicone Baking Molds,Kitchen,Set of flexible molds for baking cakes and pastries.,27.34,0.47,1.1
574429732656,Granola Clusters,Food - Cereal,"Crunchy granola clusters, perfect for snacking or topping yogurt.",32.45,0.59,2.5
574431679997,Compact Umbrella,Accessories,Portable and lightweight umbrella for protection from rain.,47.43,0.57,4.3
574458625940,Non-Toxic Concrete Sealer,Home Improvement,Eco-friendly sealer for protecting concrete surfaces.,55.31,0.77,2.5
574473526600,Vegetable Quinoa Bowl,Food - Frozen Meals,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat.",35.51,0.47,4.8
574412287351,Spaghetti Squash,Food - Produce,Low-carb vegetable for pasta alternatives.,29.78,0.5,2.3
574431275012,Collapsible Folding Chair,Outdoor,Lightweight and portable chair for camping or events.,27.12,0.62,1.4
574484586646,Car Diagnostic Scanner,Automotive,Tool to check car engine codes and performance issues.,41.02,0.54,1.7
574479927820,Organic Blueberries,Food - Fruits,Fresh organic blueberries perfect for snacking or baking.,58.13,0.54,4
574409189656,Adjustable Kitchen Broom Stand,Home,Space-saving broom holder for organized cleaning supplies.,40.39,0.53,3.2
574411987173,Basmati Rice,Food - Grains,"Aromatic long-grain basmati rice, perfect for curries.",53.54,0.71,1.2
574480616369,Cable Knit Cardigan,Clothing - Outerwear,Cozy cable knit cardigan to layer during chilly evenings.,15.46,0.54,5
574482797416,Sustainable Wooden Toys,Toys,Eco-friendly toys for learning and imaginative play.,16.02,0.52,1.1
574418628663,Vegetable Spring Rolls,Food - Frozen Foods,Crispy spring rolls filled with vegetables,57.03,0.45,2.2
574484192162,Pumpkin Seeds,Food - Snacks,"Crunchy roasted pumpkin seeds, great for snacking.",56.78,0.64,2
574403916710,Almond Joy Munch Bars,Food - Snacks,"A delightful mix of chocolate, coconut, and almonds in a snack bar.",30.18,0.42,2.6
574426287708,Classic BBQ Sauce,Food - Condiments,Smoky and sweet BBQ sauce for grilling and dipping.,43.65,0.43,2.3
574446859498,Sweet Potato and Chickpea Bowl,Food - Frozen Food,A nourishing bowl of sweet potatoes and chickpeas with spices.,38.23,0.65,4.7
574454801871,Rice Pilaf Mix,Food - Grains,Quick and easy rice pilaf mix for side dishes.,25.94,0.45,1.6
574418108881,Stuffed Bell Peppers,Food - Frozen Meals,Bell peppers stuffed with rice and vegetables,34.7,0.65,4.7
574423480773,Sliced Olives,Food - Condiments,"Pitted black olives, perfect for salads and pizzas.",25.68,0.8,3
574425108790,Coconut Bowls Set,Kitchen,Handmade eco-friendly bowls made from real coconuts.,26.48,0.63,2.1
574425627658,Heavy-Duty Utility Tote,Accessories,"Large, durable tote bag for shopping and outdoor activities.",34.45,0.79,2.3
574424087903,Peanut Butter Cookies,Food - Bakery,Soft and chewy cookies made with creamy peanut butter.,43.82,0.55,3.6
574448214582,Plant-Based Cookbook,Books,Delicious recipes focusing on plant-based ingredients.,17.43,0.67,3.9
574471319164,Smartphone Projector,Electronics,DIY projector that magnifies your smartphone screen for movie nights.,52.38,0.74,1.1
574433647086,Chipotle Black Bean Salad,Food - Salads,"A zesty salad with black beans, corn, and chipotle dressing.",32.31,0.57,3.8
574438188638,Oversized Denim Shirt,Clothing - Shirts,A trendy oversized denim shirt perfect for layering.,21.77,0.72,3.6
574451824139,Organic Spinach,Food - Produce,"Fresh organic spinach, great for salads or cooking.",55.28,0.42,1.6
574483122289,Chicken Fajita Kit,Food - Prepared Foods,All ingredients included for delicious chicken fajitas.,39.52,0.78,3.8
574485560570,Silicone Baking Mat,Kitchen,Non-stick baking mat for easy cooking and cleanup.,28.16,0.7,3.5
574437177669,Recipe Book Stand,Kitchen,Stylish stand to hold your recipes while cooking.,26.62,0.74,4.2
574421188684,Yoga Mat Carrier,Fitness,Convenient carrier for transporting yoga mat.,45.89,0.6,2.3
574431766661,Organic Quinoa Chips,Food - Snacks,"Light and crispy chips made from quinoa, ideal for dipping.",19.18,0.41,3
574453712859,Ranch Dressing,Food - Condiments,"Creamy ranch dressing, perfect for salads and dips.",41.99,0.55,4.5
574478494650,Mobile Workbench,Tools,Sturdy mobile workbench with storage options.,49.02,0.77,4.5
574490216669,Educational STEM Kit,Toys,Hands-on experience with science and engineering projects.,51.49,0.45,1.6
574406689788,Herb Seasoned Couscous,Food - Grains,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish.",19.79,0.75,1.5
574416462413,Bicycle Lock,Bicycles,Heavy-duty bicycle lock for security.,40.78,0.61,2.6
574420177284,Chocolate Mint Cookies,Food - Baking,Delicious cookies with rich chocolate flavor and a hint of mint.,36.95,0.61,1.4
574430069266,Classic Caesar Dressing,Food - Condiments,Rich and creamy Caesar dressing for salads and wraps.,19.04,0.5,1.2
574449605896,Pumpkin Pancake Mix,Food - Breakfast,Easy-to-make pancake mix with pumpkin spice flavor.,38.3,0.78,4.2
574408899571,Roasted Garlic Mashed Potatoes,Food - Frozen Foods,Creamy mashed potatoes infused with roasted garlic flavor.,38.28,0.6,4.4
574423924138,Nail Polish Set,Beauty,Assorted nail polish set for vibrant nails.,34.27,0.59,4.7
574451677118,Kids' Educational Tablet,Electronics,Learning tablet with kid-friendly educational apps.,34.15,0.43,1.7
574472908417,Fitness Balance Ball,Fitness,Stability ball for Pilates and yoga workouts.,45.59,0.64,4.9
574474333877,Fire Roasted Salsa,Food - Condiments,Salsa made with fire-roasted tomatoes for an authentic flavor.,56.43,0.71,3.1
574474791408,Apple Cinnamon Breakfast Muffins,Food - Bakery,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,36.15,0.67,2.4
574416727803,Chocolate Covered Pretzels,Food - Snacks,"Crunchy pretzels coated in rich chocolate, a sweet treat.",25.54,0.41,3.6
574477709209,LED Strip Lights Kit,Home,DIY LED strip lights with remote control.,39.2,0.6,1.4
574481602994,Reclining Camping Chair,Outdoor,Foldable reclining camping chair with cup holder.,28.58,0.5,1.3
574478423402,Sweet Pea Hummus,Food - Dips,Creamy hummus made with sweet peas and tahini.,45.69,0.67,3
574474427515,Scent Diffuser,Home,Ultrasonic essential oil diffuser with LED lights.,53.79,0.54,1.9
574411052954,Elderberry Syrup,Food - Supplements,Natural elderberry syrup to boost immunity.,28.23,0.61,1.5
574417625717,Pet Grooming Kit,Pets,Complete grooming kit for dogs and cats.,21.2,0.73,3.4
574463070811,Portable Bluetooth Keyboard,Electronics,Compact keyboard for tablets and smartphones.,50.52,0.79,4.8
574453005307,Spicy Chicken Wings,Food - Meat,"Wide range of flavored wings, perfect for parties or casual snacking.",39.33,0.76,1.2
574428006583,Wireless Keyboard and Mouse Combo,Electronics,Compact wireless set for easy computer usability.,35.7,0.79,5
574444138575,Wireless Earbuds Case,Accessories,Protective case for wireless earbuds.,39.22,0.4,1.3
574413631071,Rechargeable Battery Organizer,Home,Tidy storage solution for rechargeable batteries.,44.73,0.48,4.2
574433483589,Smart Light Switch,Smart Home,Control lights remotely with this smart switch.,57.72,0.73,4.2
574438554090,Vegetarian Pizza,Food - Frozen Foods,Frozen pizza loaded with vegetables and cheese.,33.23,0.59,4
574421633754,Chickpea Pancakes,Food - Frozen,"Savory pancakes made with chickpea flour, high in protein.",37.08,0.51,4.2
574468334957,Overnight Duffle Bag,Travel,Spacious duffle bag for weekend getaways.,54.13,0.74,2.2
574494824581,Teriyaki Sauce,Food - Condiments,Sweet and savory sauce for marinating and glazing meats or vegetables.,22.39,0.8,1.7
574423999766,Outdoor Portable Fire Pit,Outdoor,Compact fire pit for campfires and gatherings.,36.59,0.4,3.6
574476705728,Miso Dressing,Food - Dressings,Flavorful dressing made with miso paste,33.07,0.45,2.2
574417073425,Apple Cinnamon Granola,Food - Breakfast,A wholesome granola with bits of apple and a touch of cinnamon.,55.11,0.74,4.9
574414084742,Ultra-Thin Laptop Sleeve,Accessories,Sleek and protective sleeve for laptops and tablets.,45.99,0.73,2.7
574425547582,Decorative LED Neon Sign,Home,"Bright, vibrant sign to add flair to any space.",30,0.6,3.5
574448789045,Face Mask Set,Health,Set of five reusable fabric face masks.,53.98,0.44,3.6
